dataset,official_group,junction_type,n,mean,median,sem
dataset1,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,homotypic,1106,146.00184846173872,100.79374346400277,5.007933396385704
dataset1,Neural Crest_awayfrom_boundary,homotypic,505,158.83102808220798,107.9603684265324,8.22676561341071
dataset1,heterotypic,heterotypic,151,168.86336138282473,117.0329604866432,12.354068407678605
dataset2,Cranial mesoderm_awayfrom_boundary,homotypic,99,151.87188913179236,125.50800838819552,12.474931112005091
dataset2,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,homotypic,756,148.59469200042486,128.5113387974967,4.167485134337886
dataset2,heterotypic,heterotypic,51,182.302609157991,157.92776223058743,16.41052466376144
dataset3,Hindbrain_awayfrom_boundary,homotypic,272,160.63481122183876,142.34883553565263,7.406458139005833
dataset3,Midbrain_awayfrom_boundary,homotypic,222,140.01954033951364,123.80761432852151,6.736945614600323
dataset3,heterotypic,heterotypic,29,199.0788551769204,206.51159582986983,18.78477865838894
