dataset,cell_i,cell_j,tissue_i,tissue_j,junction_type,official_group,distance_to_boundary,tension
dataset1,cell_407,cell_413,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,207.3553587329561
dataset1,cell_407,cell_425,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,108.62801347751656
dataset1,cell_407,cell_435,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,451.4193753482688
dataset1,cell_408,cell_411,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,80.79609310932936
dataset1,cell_408,cell_436,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,84.34213926722663
dataset1,cell_409,cell_411,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,141.21857688377273
dataset1,cell_409,cell_421,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,46.54237738316671
dataset1,cell_409,cell_438,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,82.9002600908887
dataset1,cell_411,cell_438,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,95.79082643927256
dataset1,cell_411,cell_440,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,34.9380698467272
dataset1,cell_411,cell_441,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,22.4098229006672
dataset1,cell_412,cell_434,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,3,236.28376680136705
dataset1,cell_413,cell_416,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,79.3401590930181
dataset1,cell_413,cell_435,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,471.0125195095282
dataset1,cell_415,cell_452,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,130.70641574066556
dataset1,cell_415,cell_460,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,117.83693601751092
dataset1,cell_416,cell_435,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,409.5124081576574
dataset1,cell_417,cell_427,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,486.7184142178844
dataset1,cell_417,cell_428,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,407.48928432302137
dataset1,cell_418,cell_431,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,49.22140227814708
dataset1,cell_418,cell_434,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,261.15472781879134
dataset1,cell_418,cell_444,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,163.58624540120056
dataset1,cell_418,cell_446,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,159.73266769710503
dataset1,cell_421,cell_426,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,78.94503052635146
dataset1,cell_421,cell_437,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,157.86813393640062
dataset1,cell_421,cell_438,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,39.54527919317356
dataset1,cell_421,cell_445,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,170.83105005913404
dataset1,cell_423,cell_432,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,42.43126990597189
dataset1,cell_423,cell_442,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,33.12287657504308
dataset1,cell_423,cell_448,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,47.755866472846655
dataset1,cell_423,cell_454,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,100.03444587187975
dataset1,cell_423,cell_462,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,58.96759642227913
dataset1,cell_425,cell_428,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,40.83699730502254
dataset1,cell_425,cell_435,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,288.6526211726391
dataset1,cell_425,cell_447,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,58.00931557317773
dataset1,cell_426,cell_437,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,129.8483461456407
dataset1,cell_427,cell_428,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,397.4000886398202
dataset1,cell_427,cell_432,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,299.8210987303935
dataset1,cell_427,cell_439,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,399.75375433349865
dataset1,cell_428,cell_439,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,49.68220556699688
dataset1,cell_428,cell_447,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,38.80620807279103
dataset1,cell_428,cell_458,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,49.55564642266292
dataset1,cell_429,cell_431,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,37.946332193467846
dataset1,cell_430,cell_436,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,84.98365443097025
dataset1,cell_430,cell_450,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,93.04085119148138
dataset1,cell_430,cell_469,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,97.31194407204713
dataset1,cell_430,cell_476,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,97.4623652223309
dataset1,cell_431,cell_446,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,128.23953918576342
dataset1,cell_432,cell_439,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,126.7163793156787
dataset1,cell_432,cell_448,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,70.37283345664387
dataset1,cell_432,cell_471,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,152.02395738487843
dataset1,cell_432,cell_479,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,84.50289024981515
dataset1,cell_433,cell_442,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,110.44519248213722
dataset1,cell_434,cell_443,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,3,190.9634919764995
dataset1,cell_434,cell_444,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,125.65022795322234
dataset1,cell_434,cell_461,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,123.4507603572304
dataset1,cell_435,cell_447,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,330.4787357691627
dataset1,cell_435,cell_449,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,384.8097359051148
dataset1,cell_437,cell_445,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,81.88306596192267
dataset1,cell_437,cell_451,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,446.4432276718414
dataset1,cell_438,cell_440,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,61.87434347956732
dataset1,cell_438,cell_445,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,207.0259641603879
dataset1,cell_439,cell_458,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,60.85350545192595
dataset1,cell_439,cell_471,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,95.50703569543698
dataset1,cell_440,cell_441,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,51.60916303037424
dataset1,cell_440,cell_445,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,236.0767798807034
dataset1,cell_440,cell_455,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,3.459077899352512
dataset1,cell_440,cell_463,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,356.2390201902673
dataset1,cell_441,cell_455,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,48.804999160390025
dataset1,cell_442,cell_454,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,113.86296116212208
dataset1,cell_442,cell_462,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,67.16512940354268
dataset1,cell_442,cell_464,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,36.3478048668335
dataset1,cell_442,cell_486,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,129.97620299787684
dataset1,cell_442,cell_488,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,165.68405774971524
dataset1,cell_443,cell_461,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,63.762089372779066
dataset1,cell_443,cell_484,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,153.6025633832633
dataset1,cell_444,cell_446,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,24.89994525205828
dataset1,cell_444,cell_461,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,5.905597753675899
dataset1,cell_444,cell_467,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,15.2526776073567
dataset1,cell_445,cell_451,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,507.67919176572536
dataset1,cell_445,cell_463,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,391.53258971176666
dataset1,cell_445,cell_470,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,320.36737427084535
dataset1,cell_446,cell_467,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,12.965834965878802
dataset1,cell_446,cell_481,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,12.459757547243276
dataset1,cell_447,cell_449,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,80.14049064155242
dataset1,cell_447,cell_458,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,13.431675916653374
dataset1,cell_448,cell_462,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,52.49543917807027
dataset1,cell_448,cell_472,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,31.02341236619872
dataset1,cell_448,cell_479,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,70.58032654537901
dataset1,cell_449,cell_453,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,73.02015712915664
dataset1,cell_449,cell_458,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,91.00114331249894
dataset1,cell_449,cell_466,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,62.18504328288798
dataset1,cell_450,cell_473,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,15.730131003606596
dataset1,cell_450,cell_483,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,49.46554791867012
dataset1,cell_450,cell_494,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,13.479228978585557
dataset1,cell_451,cell_452,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,194.4352170215334
dataset1,cell_451,cell_470,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,442.4073049799949
dataset1,cell_451,cell_478,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,291.2532513888156
dataset1,cell_452,cell_460,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,42.31636104111454
dataset1,cell_452,cell_478,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,172.31692118899784
dataset1,cell_453,cell_466,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,90.39717074667452
dataset1,cell_453,cell_468,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,120.95506421628318
dataset1,cell_454,cell_462,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,153.02618988268352
dataset1,cell_455,cell_463,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,357.27434511125495
dataset1,cell_455,cell_485,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,177.10970465366754
dataset1,cell_455,cell_500,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,171.69874194409178
dataset1,cell_456,cell_460,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,174.81959948410594
dataset1,cell_457,cell_476,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,161.3024256574817
dataset1,cell_457,cell_506,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,144.07564008862153
dataset1,cell_458,cell_466,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,122.47273779209532
dataset1,cell_458,cell_471,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,82.11171096495691
dataset1,cell_458,cell_487,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,82.33137927745318
dataset1,cell_460,cell_478,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,154.16579125074566
dataset1,cell_460,cell_480,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,165.77698328556667
dataset1,cell_460,cell_490,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,186.6817484449073
dataset1,cell_460,cell_499,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,56.216044801331385
dataset1,cell_461,cell_467,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,8.73192267924553
dataset1,cell_461,cell_484,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,2,70.37230772670647
dataset1,cell_461,cell_489,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,8.164266353112838
dataset1,cell_462,cell_486,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,182.46157914912743
dataset1,cell_463,cell_470,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,470.93314996687207
dataset1,cell_463,cell_485,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,480.7095442009252
dataset1,cell_464,cell_488,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,192.73042474904
dataset1,cell_464,cell_496,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,156.27694695738992
dataset1,cell_465,cell_506,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,144.84483637184553
dataset1,cell_465,cell_526,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,180.7541492670472
dataset1,cell_466,cell_468,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,105.2737932212184
dataset1,cell_467,cell_481,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,0.8116830126610597
dataset1,cell_467,cell_489,Neural Crest,Neural Crest,homotypic,Neural Crest_awayfrom_boundary,1,6.525350202221218
dataset1,cell_468,cell_477,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,153.84515863418625
dataset1,cell_468,cell_498,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,195.07821372451863
dataset1,cell_470,cell_478,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,220.57508723457164
dataset1,cell_470,cell_482,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,3.633107077976309
dataset1,cell_470,cell_485,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,10.615439502987709
dataset1,cell_471,cell_479,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,159.38975194878768
dataset1,cell_471,cell_487,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,3.310401956207402
dataset1,cell_471,cell_501,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,4.541121634086299
dataset1,cell_472,cell_479,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,61.04834328150304
dataset1,cell_473,cell_494,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,11.204630705304604
dataset1,cell_473,cell_500,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,152.18153012876834
dataset1,cell_477,cell_498,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,191.9607307723476
dataset1,cell_477,cell_509,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,157.4166741939683
dataset1,cell_477,cell_515,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,107.15832361707896
dataset1,cell_478,cell_482,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,218.6529023492317
dataset1,cell_478,cell_490,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,133.57484051364366
dataset1,cell_478,cell_505,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,102.11946924749836
dataset1,cell_479,cell_486,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,173.53147739237986
dataset1,cell_479,cell_501,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,161.43358976335395
dataset1,cell_479,cell_511,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,169.0084586069324
dataset1,cell_479,cell_514,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,296.682991011561
dataset1,cell_480,cell_499,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,172.754104978138
dataset1,cell_482,cell_485,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,10.155178567276476
dataset1,cell_482,cell_504,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,31.877436532380585
dataset1,cell_482,cell_505,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,195.2021287997938
dataset1,cell_483,cell_494,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,48.33388331881434
