dataset,cell_i,cell_j,tissue_i,tissue_j,junction_type,official_group,distance_to_boundary,tension
dataset1,cell_36,cell_45,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,15.136072555801942
dataset1,cell_36,cell_62,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,56.54633014942382
dataset1,cell_36,cell_67,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,89.58832327045366
dataset1,cell_36,cell_76,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,71.95277489363751
dataset1,cell_38,cell_43,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,144.95011932098825
dataset1,cell_38,cell_49,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,343.1861066768375
dataset1,cell_38,cell_60,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,147.15217959113073
dataset1,cell_39,cell_48,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,78.60852794309473
dataset1,cell_39,cell_55,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,89.05756098197426
dataset1,cell_39,cell_59,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,94.09922364284662
dataset1,cell_40,cell_42,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,188.41036804887827
dataset1,cell_40,cell_57,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,207.71842372289325
dataset1,cell_40,cell_62,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,56.14472208049172
dataset1,cell_42,cell_43,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,28.18150967239158
dataset1,cell_42,cell_57,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,34.5190058470176
dataset1,cell_43,cell_57,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,21.51734990122649
dataset1,cell_45,cell_46,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,75.56381226660687
dataset1,cell_45,cell_67,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,82.87530817873316
dataset1,cell_46,cell_52,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,80.17302971518005
dataset1,cell_46,cell_67,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,141.9363127882967
dataset1,cell_46,cell_68,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,101.87439278603364
dataset1,cell_48,cell_50,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,133.49444851039507
dataset1,cell_48,cell_59,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,18.62468915225351
dataset1,cell_48,cell_66,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,99.69118874911986
dataset1,cell_48,cell_69,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,47.46754171460422
dataset1,cell_49,cell_50,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,377.36058333496646
dataset1,cell_49,cell_60,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,299.2848905614929
dataset1,cell_49,cell_64,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,295.5627876713732
dataset1,cell_50,cell_64,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,85.47008932460807
dataset1,cell_50,cell_66,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,102.8366064881555
dataset1,cell_51,cell_56,Neural Crest,Forebrain/Midbrain/Hindbrain,heterotypic,heterotypic,0,518.3909907993437
dataset1,cell_52,cell_68,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,125.9855144818568
dataset1,cell_52,cell_77,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,192.0246848315492
dataset1,cell_54,cell_70,Forebrain/Midbrain/Hindbrain,Neural Crest,heterotypic,heterotypic,0,149.1504146229168
dataset1,cell_55,cell_59,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,97.078522844151
dataset1,cell_55,cell_61,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,111.38238653160955
dataset1,cell_55,cell_74,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,113.12274368604092
dataset1,cell_55,cell_78,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,130.04143937181266
dataset1,cell_57,cell_62,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,167.05856917571424
dataset1,cell_59,cell_69,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,52.8398243108172
dataset1,cell_59,cell_74,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,40.54438597336625
dataset1,cell_60,cell_64,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,11.60783274133483
dataset1,cell_60,cell_81,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,39.02303314729748
dataset1,cell_62,cell_76,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,37.41859768389325
dataset1,cell_62,cell_82,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,128.28012230344677
dataset1,cell_64,cell_66,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,45.90504789470443
dataset1,cell_64,cell_75,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,80.80349347806957
dataset1,cell_64,cell_81,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,32.625338553706484
dataset1,cell_64,cell_84,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,22.900999671438804
dataset1,cell_65,cell_77,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,296.5121519856747
dataset1,cell_65,cell_90,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,222.90207469612096
dataset1,cell_65,cell_91,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,430.0776995433442
dataset1,cell_65,cell_93,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,211.4028313106048
dataset1,cell_66,cell_69,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,127.7528519997735
dataset1,cell_66,cell_75,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,55.019065818513454
dataset1,cell_67,cell_68,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,78.90736973018909
dataset1,cell_67,cell_76,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,88.89065717063784
dataset1,cell_67,cell_86,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,96.35486973610745
dataset1,cell_68,cell_77,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,142.18795746107637
dataset1,cell_68,cell_86,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,55.73597600799162
dataset1,cell_69,cell_74,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,46.98806297511212
